packageName,apis
zemberek.apps,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.tokenization.antlr,"[com.google.guava:guava,org.antlr:antlr4-runtime]"
zemberek.phrase,[com.google.guava:guava]
zemberek.normalization,"[com.google.guava:guava,junit:junit]"
zemberek.core.embeddings,"[com.google.guava:guava,junit:junit]"
zemberek.apps.fasttext,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.corpus,"[com.google.guava:guava,com.h2database:h2,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
zemberek.core.io,"[com.google.guava:guava,junit:junit]"
zemberek.apps.lm,"[com.beust:jcommander,com.google.guava:guava,junit:junit]"
zemberek.lm,"[com.google.guava:guava,junit:junit]"
zemberek.apps.ner,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.embedding.fasttext,"[com.google.guava:guava,junit:junit]"
zemberek.grpc.server,[io.grpc:grpc-netty-shaded]
zemberek.core.text,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.ambiguity,"[com.google.guava:guava,junit:junit]"
zemberek.keyphrase,[com.google.guava:guava]
zemberek.lm.compression,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.morphotactics,[com.google.guava:guava]
zemberek.morphology.external,[com.google.guava:guava]
zemberek.lm.backoff,[com.google.guava:guava]
zemberek.morphology.old_ambiguity,[com.google.guava:guava]
zemberek.langid.model,[com.google.guava:guava]
zemberek.ner,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.lexicon.tr,"[com.google.guava:guava,junit:junit]"
zemberek.scratchpad,"[com.google.guava:guava,org.jsoup:jsoup]"
zemberek.core.collections,"[com.google.guava:guava,junit:junit]"
zemberek.embedding,[com.google.guava:guava]
zemberek.core.logging,"[com.google.guava:guava,junit:junit]"
zemberek.apps.corpus,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.examples.classification,[com.google.guava:guava]
zemberek.langid.train,[com.google.guava:guava]
zemberek.classification,[com.google.guava:guava]
zemberek.langid,"[com.google.guava:guava,junit:junit]"
zemberek.core.hash,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis.tr,"[com.google.guava:guava,junit:junit]"
zemberek.core,[com.google.guava:guava]
zemberek.examples.tokenization,[com.google.guava:guava]
zemberek.core.math,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.lexicon,[com.google.guava:guava]
zemberek.core.turkish,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.generator,"[com.google.guava:guava,junit:junit]"
zemberek.core.quantization,[com.google.guava:guava]
zemberek.core.enums,[com.google.guava:guava]
zemberek.dependency,[com.google.guava:guava]
zemberek.morphology.apps,"[com.google.guava:guava,junit:junit]"
zemberek.core.process,[com.google.guava:guava]
zemberek.apps.morphology,[com.beust:jcommander]
zemberek.apps.grpc,[com.beust:jcommander]
zemberek.tokenization,"[com.google.guava:guava,junit:junit,org.antlr:antlr4-runtime,org.apache.opennlp:opennlp-tools]"
zemberek.morphology,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.analysis,"[com.github.ben-manes.caffeine:caffeine,com.google.guava:guava,junit:junit]"
