packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.lionsoul.jcseg.elasticsearch,AppTest,testApp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.lionsoul.jcseg.server.controller,KeywordsController,"",org.eclipse.jetty:jetty-server,Web Servers,"server,eclipse,webserver,web,jetty",2,2,1.0
org.lionsoul.jcseg.server,JcsegServer,init,org.eclipse.jetty:jetty-server,Web Servers,"server,eclipse,webserver,web,jetty",19,19,1.0
org.lionsoul.jcseg.server,JcsegGlobalResource,getConfig,org.lionsoul:jcseg-core,"","",2,2,1.0
org.lionsoul.jcseg.server,JcsegResourceHandler,"",org.eclipse.jetty:jetty-server,Web Servers,"server,eclipse,webserver,web,jetty",1,1,1.0
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,get,org.lionsoul:jcseg-analyzer,"",analyzer,2,2,1.0
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegNGramAnalyzerProvider,"",org.elasticsearch:elasticsearch,ElasticSearch Clients,"server,elasticsearch,elastic,client,search",6,6,1.0
org.lionsoul.jcseg.opensearch.index.analysis,JcsegDetectAnalyzerProvider,"",org.opensearch:opensearch,"","search,server",6,6,1.0
org.lionsoul.jcseg.opensearch.index.analysis,JcsegTokenizerTokenizerFactory,create,org.lionsoul:jcseg-analyzer,"",analyzer,1,5,0.2
org.lionsoul.jcseg.opensearch.index.analysis,JcsegTokenizerTokenizerFactory,create,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,5,0.2
org.lionsoul.jcseg.opensearch.index.analysis,JcsegTokenizerTokenizerFactory,create,org.lionsoul:jcseg-core,"","",3,5,0.6
org.lionsoul.jcseg.analyzer,AppTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,getType,org.lionsoul:jcseg-core,"","",1,1,1.0
org.lionsoul.jcseg.elasticsearch,AppTest,suite,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,get,org.lionsoul:jcseg-analyzer,"",analyzer,2,2,1.0
org.lionsoul.jcseg.opensearch.index.analysis,JcsegNLPAnalyzerProvider,getType,org.lionsoul:jcseg-core,"","",3,3,1.0
org.lionsoul.jcseg.opensearch.index.analysis,JcsegSimpleAnalyzerProvider,"",org.opensearch:opensearch,"","search,server",6,6,1.0
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,"",org.elasticsearch:elasticsearch,ElasticSearch Clients,"server,elasticsearch,elastic,client,search",10,19,0.53
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,"",org.lionsoul:jcseg-analyzer,"",analyzer,4,19,0.21
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,"",org.lionsoul:jcseg-core,"","",5,19,0.26
org.lionsoul.jcseg.elasticsearch,AppTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
