packageName,className,apis
com.vmware.xenon.common,TestOperationProcessingChain,[junit:junit]
com.vmware.xenon.services.common,NodeGroupService,[com.esotericsoftware:kryo-shaded]
com.vmware.xenon.services.samples,IdGeneratorService,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,TestRoundRobinOperationQueue,[junit:junit]
com.vmware.xenon.common,TestValidationError,[junit:junit]
com.vmware.xenon.common,TestLocalizableValidationException,[junit:junit]
com.vmware.xenon.services.common,LuceneDocumentIndexService,"[com.google.code.gson:gson,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-grouping]"
com.vmware.workshop.labs.answer,BookServiceAnswerTest,"[com.vmware.xenon:xenon-common,junit:junit]"
com.vmware.xenon.services.samples,SampleContinuousQueryWatchService,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,TestAuthorizationContext,[junit:junit]
com.vmware.xenon.common.opentracing,TracingTest,"[io.opentracing:opentracing-api,io.opentracing:opentracing-mock,junit:junit]"
com.vmware.xenon.common,TestStatefulService,[junit:junit]
com.vmware.xenon.common.opentracing,TracingExecutor,[io.opentracing:opentracing-api]
com.vmware.xenon.common.serialization,ByteArrayToBase64TypeAdapter,[com.google.code.gson:gson]
com.vmware.xenon.common.test,VerificationHost,"[com.esotericsoftware:kryo-shaded,io.netty:netty-all,junit:junit,org.apache.lucene:lucene-core]"
com.vmware.xenon.common.opentracing,TracerFactory,"[com.google.code.findbugs:annotations,io.opentracing:opentracing-api,io.opentracing:opentracing-noop]"
com.vmware.xenon.performance,ReplicatedService,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common.http.netty,NettyHttpServerInitializer,[io.netty:netty-all]
com.vmware.xenon.services.samples,TestSamplePreviousEchoService,"[com.vmware.xenon:xenon-common,junit:junit]"
com.vmware.xenon.services.common,QueryPageService,[org.apache.lucene:lucene-core]
com.vmware.xenon.common.serialization,TestDeserializeArrayJsonMapper,[junit:junit]
com.vmware.xenon.services.samples,BankAccountService,[com.vmware.xenon:xenon-common]
com.vmware.workshop.labs,BookstoreDemo,[com.vmware.xenon:xenon-common]
com.vmware.xenon.performance,SimpleStatefulService,[com.vmware.xenon:xenon-common]
com.vmware.xenon.services.common,TestCheckpointService,[junit:junit]
com.vmware.xenon.common,TestServiceDocument,"[com.google.code.gson:gson,junit:junit]"
