packageName,className,apis
com.github.rnewson.couchdb.lucene,DocumentConverterTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core,org.hamcrest:hamcrest-all,org.json:json,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,CustomQueryParserTest,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.github.rnewson.couchdb.lucene.util,ErrorPreservingResponseHandler,"[org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore]"
com.github.rnewson.couchdb.lucene.couchdb,CouchDocumentTest,"[junit:junit,org.json:json]"
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-analyzers-smartcn,org.apache.lucene:lucene-core,org.hamcrest:hamcrest-all,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,HttpUtils,"[org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.json:json]"
com.github.rnewson.couchdb.lucene,TikaTest,"[junit:junit,org.apache.lucene:lucene-core,org.hamcrest:hamcrest-all]"
com.github.rnewson.couchdb.lucene,QueryPlan,[org.apache.lucene:lucene-core]
com.github.rnewson.couchdb.lucene.couchdb,DesignDocument,[org.json:json]
com.github.rnewson.couchdb.lucene.couchdb,Couch,"[org.apache.httpcomponents:httpclient,org.json:json]"
com.github.rnewson.couchdb.lucene.util,StatusCodeResponseHandler,"[org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore]"
com.github.rnewson.couchdb.lucene,Tika,"[log4j:log4j,org.apache.lucene:lucene-core,org.apache.tika:tika-core]"
com.github.rnewson.couchdb.lucene,HttpClientFactory,"[commons-configuration:commons-configuration,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore]"
com.github.rnewson.couchdb.lucene,DocumentConverter,"[log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.json:json,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene.util,UtilsTest,[junit:junit]
com.github.rnewson.couchdb.lucene.util,ServletUtils,[org.json:json]
com.github.rnewson.couchdb.lucene.couchdb,ViewSettings,"[org.apache.lucene:lucene-core,org.json:json,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,TypedField,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.github.rnewson.couchdb.lucene.rhino,RhinoDocument,"[org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,JSONErrorHandler,"[org.eclipse.jetty:jetty-server,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,CouchDocument,[org.json:json]
com.github.rnewson.couchdb.lucene.couchdb,DatabaseInfo,[org.json:json]
com.github.rnewson.couchdb.lucene.couchdb,ViewTest,"[junit:junit,org.json:json]"
com.github.rnewson.couchdb.lucene,ConfigTest,"[commons-configuration:commons-configuration,junit:junit,org.apache.httpcomponents:httpclient]"
com.github.rnewson.couchdb.lucene.couchdb,UpdateSequence,"[commons-codec:commons-codec,org.erlang.otp:jinterface]"
com.github.rnewson.couchdb.lucene,PathPartsTest,[junit:junit]
com.github.rnewson.couchdb.lucene,DatabaseIndexer,"[commons-configuration:commons-configuration,log4j:log4j,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser,org.json:json,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene.util,Utils,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.github.rnewson.couchdb.lucene,CustomQueryParser,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,Database,"[org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.json:json]"
com.github.rnewson.couchdb.lucene,LuceneServlet,"[commons-configuration:commons-configuration,commons-io:commons-io,log4j:log4j,org.apache.httpcomponents:httpclient,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,View,"[org.apache.lucene:lucene-core,org.json:json,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,Config,"[commons-configuration:commons-configuration,log4j:log4j,org.apache.httpcomponents:httpclient]"
com.github.rnewson.couchdb.lucene.couchdb,UpdateSequenceTest,[junit:junit]
com.github.rnewson.couchdb.lucene,Main,"[commons-configuration:commons-configuration,log4j:log4j,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet]"
com.github.rnewson.couchdb.lucene.rhino,JSLog,"[log4j:log4j,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene.couchdb,DesignDocumentTest,"[junit:junit,org.json:json]"
com.github.rnewson.couchdb.lucene,JsonTest,"[junit:junit,org.json:json]"
