packageName,className,apis
no.priv.garshol.duke.comparators,JaroWinklerTest,[junit:junit]
no.priv.garshol.duke.databases,LuceneConfigLoaderTest,[junit:junit]
no.priv.garshol.duke.genetic,GeneticConfigurationTest,[junit:junit]
no.priv.garshol.duke.server,CommonJTimer,[org.codehaus.fabric3.api:commonj]
no.priv.garshol.duke.cleaners,RegexpCleanerTest,[junit:junit]
no.priv.garshol.duke.datasources,MongoDBDataSource,[org.mongodb:mongo-java-driver]
no.priv.garshol.duke.utils,ObjectUtilsTest,[junit:junit]
no.priv.garshol.duke.databases.es,ElasticSearchConfigLoaderTest,[junit:junit]
no.priv.garshol.duke.utils,NTriplesParserTest,[junit:junit]
no.priv.garshol.duke.utils,LinkFileWriterTest,[junit:junit]
no.priv.garshol.duke.cleaners,NorwegianCompanyNameCleanerTest,[junit:junit]
no.priv.garshol.duke.genetic,ComparatorAspectTest,[junit:junit]
no.priv.garshol.duke.comparators,GeopositionComparatorTest,[junit:junit]
no.priv.garshol.duke.databases,GeoProperty,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
no.priv.garshol.duke.comparators,LevenshteinTest,[junit:junit]
no.priv.garshol.duke.datasources,CSVDataSourceTest,[junit:junit]
no.priv.garshol.duke.databases.es,DocumentRecordTest,"[junit:junit,org.apache.lucene:lucene-core]"
no.priv.garshol.duke.utils,PropertyUtilsTest,[junit:junit]
no.priv.garshol.duke.integration,IT,[junit:junit]
no.priv.garshol.duke.test,RecordImplTest,[junit:junit]
no.priv.garshol.duke.databases,GeoSearchingTest,"[junit:junit,org.apache.lucene:lucene-core]"
no.priv.garshol.duke.cleaners,HTMLCleanerTest,[junit:junit]
no.priv.garshol.duke.utils,TestUtils,[junit:junit]
no.priv.garshol.duke.datasources,NTriplesDataSourceTest,[junit:junit]
no.priv.garshol.duke.test,ConfigWriterTest,[junit:junit]
no.priv.garshol.duke.comparators,JaccardIndexComparatorTest,[junit:junit]
no.priv.garshol.duke.comparators,SoundexComparatorTest,[junit:junit]
no.priv.garshol.duke.databases,RecordLinkTest,"[junit:junit,org.apache.lucene:lucene-core]"
no.priv.garshol.duke.comparators,QGramComparatorTest,[junit:junit]
no.priv.garshol.duke.comparators,DiceCoefficientComparatorTest,[junit:junit]
no.priv.garshol.duke.cleaners,NorwegianAddressCleanerTest,[junit:junit]
no.priv.garshol.duke.comparators,DifferentComparatorTest,[junit:junit]
no.priv.garshol.duke.comparators,LongestCommonSubstringTest,[junit:junit]
no.priv.garshol.duke.cleaners,DigitsOnlyCleanerTest,[junit:junit]
no.priv.garshol.duke.utils,LinkDatabaseUtilsTest,[junit:junit]
no.priv.garshol.duke.databases,LuceneDatabase,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
no.priv.garshol.duke,JDBCLinkDatabaseTest,[junit:junit]
no.priv.garshol.duke.cleaners,FamilyCommaGivenCleanerTest,[junit:junit]
no.priv.garshol.duke.cleaners,PhoneNumberCleanerTest,[junit:junit]
no.priv.garshol.duke.test,InMemoryLinkDatabaseTest,[junit:junit]
no.priv.garshol.duke,CompactRecordTest,[junit:junit]
no.priv.garshol.duke.test,ClassDatabaseTest,[junit:junit]
no.priv.garshol.duke.databases,MapDBBlockingDatabase,[org.mapdb:mapdb]
no.priv.garshol.duke.databases,DocumentRecord,[org.apache.lucene:lucene-core]
no.priv.garshol.duke.databases,DatabaseTest,[junit:junit]
no.priv.garshol.duke.test,DeduplicatorTest,[junit:junit]
no.priv.garshol.duke.cleaners,TrimCleanerTest,[junit:junit]
no.priv.garshol.duke.utils,CommandLineParserTest,[junit:junit]
no.priv.garshol.duke.comparators,WeightedLevenshteinTest,[junit:junit]
no.priv.garshol.duke.utils,CSVReaderTest,[junit:junit]
no.priv.garshol.duke.test,ConfigurationTest,[junit:junit]
no.priv.garshol.duke.databases,PersistentDatabaseTest,[junit:junit]
no.priv.garshol.duke.datasources,InMemoryDataSourceTest,[junit:junit]
no.priv.garshol.duke.databases,DocumentRecordTest,"[junit:junit,org.apache.lucene:lucene-core]"
no.priv.garshol.duke.databases,PriorityQueueTest,[junit:junit]
no.priv.garshol.duke.matchers,LinkDatabaseMatchListenerTest,[junit:junit]
no.priv.garshol.duke.datasources,SparqlDataSourceTest,[junit:junit]
no.priv.garshol.duke.datasources,JDBCDataSourceTest,[junit:junit]
