packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
pitt.search.lucene,IndexFlatFilePositions,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",19,20,0.95
pitt.search.lucene,IndexFlatFilePositions,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,20,0.05
pitt.search.semanticvectors.vectors,Vector,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
pitt.search.lucene,PorterAnalyzer,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",2,15,0.13
pitt.search.lucene,PorterAnalyzer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,15,0.87
pitt.search.semanticvectors.integrationtests,RegressionTests,junit:junit,Testing Frameworks,"testing,junit",39,39,1.0
pitt.search.semanticvectors.vectors,VectorStoreOrthographicalTest,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
pitt.search.semanticvectors,IncrementalTermVectors,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",59,59,1.0
pitt.search.semanticvectors.vectors,VectorUtils,pitt.search:semanticvectors,"",search,14,14,1.0
pitt.search.semanticvectors.integrationtests,ESPTest,junit:junit,Testing Frameworks,"testing,junit",11,11,1.0
pitt.search.lucene,LuceneSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",35,41,0.85
pitt.search.lucene,LuceneSearch,pitt.search:semanticvectors,"",search,6,41,0.15
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,junit:junit,Testing Frameworks,"testing,junit",11,34,0.32
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",23,34,0.68
pitt.search.lucene,IndexBilingualFiles,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",28,28,1.0
pitt.search.lucene,LuceneIndexFromSemrepTriplesPL,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",92,93,0.99
pitt.search.lucene,LuceneIndexFromSemrepTriplesPL,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,93,0.01
pitt.search.lucene,LuceneIndexFromTriples,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",42,43,0.98
pitt.search.lucene,LuceneIndexFromTriples,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,43,0.02
null,RAMIndexTester,pitt.search:semanticvectors,"",search,34,34,1.0
pitt.search.semanticvectors.vectors,PermutationVector,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
pitt.search.semanticvectors,ESPperm,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",144,169,0.85
